id,name,status,latitude,longitude,dpcapacity
75,(GDL-073) Av. La Paz / Av. Federalismo,IN_SERVICE,20.669955,-103.355032,19
76,(GDL-074) C. Enrique González / C. Libertad,IN_SERVICE,20.67131,-103.351651,11
77,(GDL-075) C. Pedro Rioseco /C. Nueva Galicia,IN_SERVICE,20.669628,-103.348768,11
78,(GDL-076) C. Ramón Corona / C. Libertad,IN_SERVICE,20.670243,-103.346195,15
79,(GDL-077) C. Argentina / C. Pedro Moreno,IN_SERVICE,20.675631,-103.36134,15
80,(GDL-078) C. Comercio / C. La Paz,IN_SERVICE,20.667946,-103.346775,15
81,(GDL-079)  C. Donato Guerra /Av. La Paz,IN_SERVICE,20.6688627,-103.3513022,11
82,(GDL-080) C. Manuel Acuña / Av. Américas,IN_SERVICE,20.68432,-103.373252,15
83,(GDL-081) C. Venezuela / Av. Niños Héroes,IN_SERVICE,20.667352,-103.363338,11
84,(GDL-082)C. Gdpe. Montenegro/C.Nuño de Guzman,IN_SERVICE,20.669326,-103.362535,15
85,(GDL-083) C. Vidrio / Av. Enrique Díaz,IN_SERVICE,20.667532,-103.3595222,15
86,(GDL-084) C. Montenegro / Av. Chapultepec,IN_SERVICE,20.669306,-103.368312,19
87,(GDL-085)C. Gdpe. Zuno/ Av.  Unión,IN_SERVICE,20.670426,-103.373378,15
88,(GDL-086) C. Simón Bolivar / Av. Niños Héroes,IN_SERVICE,20.66704,-103.372444,15
91,(ZPN-001) Emilio Carranza /Carretera Tesistán,IN_SERVICE,20.73244,-103.396083,15
92,(ZPN-002) C. Emilio Carranza /C. Independenci,IN_SERVICE,20.726376,-103.397466,11
93,(ZPN-003) C. Emilio Carranza / Av. Hidalgo,IN_SERVICE,20.723081,-103.398071,11
94,Ex-ZPN-004,NOT_IN_SERVICE,20.7292222,-103.3952005,0
95,(ZPN-005) C. Del Corral / C. Anáhuac,IN_SERVICE,20.730841,-103.394267,11
96,(ZPN-006) C. Independencia / C. Anáhuac,IN_SERVICE,20.725815,-103.395308,15
97,Ex-ZPN-007,NOT_IN_SERVICE,20.726196,-103.392672,19
98,(ZPN-008) C. Vicente Guerrero / Av. Hidalgo,IN_SERVICE,20.72201,-103.39427,19
99,Ex-ZPN-009,NOT_IN_SERVICE,20.685108,-103.333746,0
100,(ZPN-010) C. Ramón Corona / C. Cuauhtémoc,IN_SERVICE,20.723889,-103.394585,11
101,(ZPN-011) C. Pino Suárez / C. López Cotilla,IN_SERVICE,20.726558,-103.389242,11
102,(ZPN-012) C. Pino Suárez / Av. Juan Pablo II,IN_SERVICE,20.728446,-103.39031,19
103,(ZPN-013) C. Eva Briseño / C. Javier Mina,IN_SERVICE,20.720438,-103.391894,23
104,(ZPN-014) C. Juan Manuel / Pino Suárez,IN_SERVICE,20.724044,-103.390802,11
105,(ZPN-015) C. Sarcófago / C. Panteon,IN_SERVICE,20.725261,-103.387365,11
106,(ZPN-016) Av. Hidalgo/ C. Emiliano Zapata,IN_SERVICE,20.721643,-103.3902,19
107,(ZPN-017) C. Juan Manuel / C. Pedro Moreno,IN_SERVICE,20.72374,-103.388657,15
108,(ZPN-018) Av. Juan Pablo II / C. Santa Lucía,IN_SERVICE,20.727068,-103.386286,23
109,Ex-ZPN-019,NOT_IN_SERVICE,20.7232207,-103.3855829,0
110,(ZPN-020) Av. Aurelio Ortega / Av. Laureles,IN_SERVICE,20.721039,-103.386942,15
111,(ZPN-021) Blvrd. Panamericano/ C.Santa Mónica,IN_SERVICE,20.72832,-103.384156,15
112,(ZPN-022) Av. Aurelio Ortega / C. Morelos,IN_SERVICE,20.722123,-103.383147,15
113,(ZPN-023) C. Juan Diego / C. Sarcófago,IN_SERVICE,20.72489,-103.383614,11
114,(ZPN-024) Manuel H. Alatorre / C. Industria,IN_SERVICE,20.72356,-103.381901,11
115,(ZPN-025) C. Pedro Moreno / C. Jesus García,IN_SERVICE,20.727913,-103.388162,15
116,Ex-ZPN-026,NOT_IN_SERVICE,20.68692,-103.33467,0
117,(ZPN-027) C. 5 de Mayo / C. Noviembre,IN_SERVICE,20.720452,-103.388629,11
118,(ZPN-028) C. Ejido / C. Sabino Delgado,IN_SERVICE,20.729724,-103.398598,11
119,(ZPN-029) C. La Villa / C. Cuauhtémoc,IN_SERVICE,20.728147,-103.393858,15
120,(ZPN-030) C. Francisco Sarabia / C. Libertad,IN_SERVICE,20.727381,-103.399976,15
125,(ZPN-031) C. Niño Obrero/Calz Lázaro Cárdenas,IN_SERVICE,20.67342,-103.40945,19
126,(ZPN-032) Calz Lázaro Cárdenas / Av San Fco,IN_SERVICE,20.67195,-103.40641,19
127,(ZPN-033) Av Lázaro Cárdenas / Av San Ignacio,IN_SERVICE,20.6707,-103.40458,15
128,(ZPN-034) C. San Demetrio / C. Niño Obrero,IN_SERVICE,20.66984,-103.40968,15
129,(ZPN-035) C. San Juan Bosco / Av. San Ignacio,IN_SERVICE,20.66844,-103.40495,11
